Hour,Temperature
0,20.6
1,20
2,20.6
3,19.4
4,20.6
5,18.9
6,19.4
7,21.7
8,23.3
9,26.7
10,29.4
11,31.1
12,33.3
13,33.9
14,33.9
15,33.3
16,32.8
17,31.1
18,28.3
19,26.7
20,23.9
21,22.8
22,21.7
23,20.6
